Department,Requested Budget,Min Required,Max Plausible,Optimized Allocation,Value Factor Used,ROI Score,Efficiency Score,Strategic Score
Executive Office,2266273.0,1815776.98,2632876.86,2632876.9,3.085,0.41,6.9,5
R&D,1737267.67,1208331.41,1984246.91,1386909.9,2.96,0.88,5.1,5
Manufacturing & Operations,1677304.9,1215501.11,1856844.74,1856844.7,3.4350000000000005,0.91,8.9,4
Supply Chain & Procurement,1684116.07,1288044.25,1966554.46,1966554.5,3.1550000000000002,0.87,7.6,4
Sales & Marketing,2124086.54,1573737.95,2514600.7,1573737.9,2.945,1.57,6.3,3
Finance & Accounting,1226572.35,1002376.18,1416155.65,1002376.2,2.8850000000000002,0.81,6.4,4
Human Resources,1152399.05,1024603.51,1705621.55,1024603.5,2.48,0.64,6.3,3
Information Technology,1816282.38,1421290.82,2180070.92,2180070.9,3.2700000000000005,1.1,7.6,4
Legal & Compliance,890880.03,790993.45,1134317.85,790993.45,2.5250000000000004,0.45,7.0,3
Strategy & Business Development,1581468.06,1173287.28,1723482.96,1723483.0,3.47,1.3,6.6,5
Customer Service & After-Sales,683276.83,555567.44,861549.1,861549.1,3.26,1.28,8.6,3
